Model Name,Architecture,Number of Epochs,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
model_1,"Conv2D, MaxPooling2D, Dense_1, Flatten",1,0.09849999845027924,0.10000000149011612,2.302757501602173,2.302675724029541
model_2,"Dense_1, Flatten",1,0.7988333106040955,0.8353000283241272,0.5577818155288696,0.47281962633132935
