Model Name,Architecture,Number of Epochs,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
model_1,"Dense_1, Flatten",12,0.8842499852180481,0.8579000234603882,0.3156281113624573,0.4042682647705078
model_2,"Dense_1, Flatten",11,0.8679500222206116,0.8373000025749207,0.35891732573509216,0.45378148555755615
model_3,"Dense_1, Flatten",11,0.8798333406448364,0.8550999760627747,0.3231946527957916,0.42063555121421814
model_4,"Dense_1, Flatten",19,0.8888166546821594,0.8582000136375427,0.30113083124160767,0.41818779706954956
model_5,"Dense_1, Flatten",15,0.8897333145141602,0.8629999756813049,0.30397143959999084,0.4085387587547302
